,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
11764,15556.0,6.0,64.55833333333334,11.5,1.0,10.5,3.5,3.333333333333333,1.6666666666666667,2.0,0.8333333333333334,0.1666666666666666,104.33333333333331,0.0,0.1666666666666666,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.1666666666666666,1.5
11765,15557.0,6.0,65.68333333333334,14.666666666666666,2.1666666666666665,12.5,4.166666666666667,4.166666666666667,1.6666666666666667,3.8333333333333335,0.3333333333333333,0.5,78.66666666666667,0.0,0.5,1.1666666666666667,1.6666666666666667,0.5,0.1666666666666666,1.6666666666666667
11766,15558.0,7.0,65.27857142857144,31.142857142857142,6.714285714285714,24.428571428571427,10.285714285714286,6.285714285714286,4.0,8.142857142857142,0.8571428571428571,1.5714285714285714,144.85714285714286,0.0,0.1428571428571428,0.8571428571428571,1.5714285714285714,0.8571428571428571,0.1428571428571428,1.2857142857142858
11767,15562.0,3.0,57.46666666666667,29.33333333333333,4.666666666666667,24.666666666666668,10.666666666666666,7.0,3.333333333333333,5.666666666666667,1.0,1.6666666666666667,92.66666666666669,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11768,15563.0,4.0,59.825,24.0,7.0,17.0,5.75,6.0,2.5,9.75,0.0,0.0,117.0,0.0,1.0,0.5,2.25,1.5,0.25,2.25
11769,15564.0,4.0,40.625,26.75,8.5,18.25,13.5,4.5,3.25,4.75,0.0,0.75,114.25,0.0,3.0,0.25,2.0,1.25,0.25,2.25
11770,15566.0,5.0,62.79600000000001,14.4,4.2,10.2,1.6,5.6,1.6,3.8,0.8,1.0,59.8,0.0,0.4,1.0,0.0,1.6,0.4,9.0
11771,15567.0,5.0,68.19399999999999,31.4,4.2,27.2,7.8,7.8,9.6,4.2,1.8,0.2,84.4,0.0,0.2,1.0,0.0,2.6,0.4,8.6
11772,15568.0,3.0,74.81,22.666666666666668,2.333333333333333,20.33333333333333,9.666666666666666,7.333333333333333,3.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,77.0,0.0,0.0,0.6666666666666666,0.0,5.0,0.6666666666666666,30.33333333333333
11773,15569.0,5.0,72.146,22.8,4.8,18.0,6.6,8.8,3.6,3.0,0.0,0.8,109.8,0.0,0.0,0.8,0.4,1.8,0.4,14.2
11774,15570.0,3.0,86.05666666666667,23.33333333333333,1.6666666666666667,21.666666666666668,11.333333333333334,6.0,2.0,1.0,0.0,3.0,85.33333333333333,0.0,0.0,0.6666666666666666,0.0,5.666666666666667,0.6666666666666666,46.66666666666666
11775,15571.0,3.0,84.88,13.666666666666666,0.3333333333333333,13.333333333333334,7.0,4.0,1.3333333333333333,0.3333333333333333,0.0,1.0,50.0,0.0,0.0,0.6666666666666666,0.0,2.333333333333333,0.6666666666666666,51.66666666666666
11776,15572.0,5.0,60.01400000000001,25.0,6.0,19.0,6.0,2.6,3.8,11.2,0.8,0.6,162.4,0.0,2.2,1.2,0.0,3.6,0.4,11.6
11777,15573.0,4.0,39.75,9.5,1.75,7.75,1.75,3.25,1.0,2.75,0.0,0.75,41.25,0.0,0.0,0.25,2.0,1.25,0.0,0.0
11778,15574.0,1.0,72.0,5.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11779,15581.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11780,15582.0,3.0,55.21,13.333333333333334,2.6666666666666665,10.666666666666666,3.6666666666666665,3.6666666666666665,1.6666666666666667,4.0,0.0,0.3333333333333333,80.33333333333333,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0
11781,15583.0,3.0,52.01,6.333333333333333,0.3333333333333333,6.0,3.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.0,37.0,0.0,0.6666666666666666,2.333333333333333,1.0,0.0,0.0,0.0
11782,15584.0,8.0,79.30125000000001,14.0,2.5,11.5,6.125,1.625,1.5,3.875,0.5,0.375,83.875,0.0,0.0,0.5,0.375,0.0,0.0,0.0
11783,15592.0,1.0,70.48,7.0,2.0,5.0,3.0,1.0,1.0,2.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11784,15593.0,1.0,80.1,6.0,0.0,6.0,1.0,2.0,1.0,0.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11785,15594.0,9.0,80.1277777777778,9.88888888888889,1.7777777777777777,8.11111111111111,4.111111111111111,1.1111111111111112,1.3333333333333333,3.111111111111111,0.1111111111111111,0.1111111111111111,31.33333333333333,0.0,0.0,1.2222222222222223,0.0,0.6666666666666666,0.2222222222222222,0.6666666666666666
11786,15595.0,9.0,83.84444444444445,5.444444444444445,0.3333333333333333,5.111111111111111,1.5555555555555556,2.7777777777777777,0.4444444444444444,0.6666666666666666,0.0,0.0,23.666666666666668,0.0,0.0,0.7777777777777778,0.0,2.888888888888889,1.5555555555555556,2.333333333333333
11787,15596.0,8.0,56.9375,3.625,0.125,3.5,0.875,0.75,0.625,1.125,0.125,0.125,10.875,0.0,0.0,0.875,0.0,0.0,0.0,0.0
11788,15597.0,9.0,81.19444444444444,7.0,1.3333333333333333,5.666666666666667,1.8888888888888888,1.7777777777777777,1.1111111111111112,1.5555555555555556,0.6666666666666666,0.0,30.11111111111111,0.0,0.0,1.0,0.0,0.6666666666666666,0.2222222222222222,0.4444444444444444
11789,15598.0,9.0,83.95555555555555,4.666666666666667,0.8888888888888888,3.7777777777777777,0.2222222222222222,1.3333333333333333,0.4444444444444444,1.7777777777777777,0.8888888888888888,0.0,82.77777777777777,0.0,0.0,0.8888888888888888,0.0,2.7777777777777777,0.4444444444444444,1.1111111111111112
11790,15599.0,9.0,81.55555555555556,7.888888888888889,0.6666666666666666,7.222222222222222,2.0,1.3333333333333333,1.2222222222222223,3.333333333333333,0.0,0.0,62.44444444444444,0.0,0.0,0.8888888888888888,0.1111111111111111,3.7777777777777777,1.2222222222222223,2.555555555555556
11791,15600.0,9.0,82.64444444444445,12.88888888888889,1.0,11.88888888888889,5.777777777777778,3.2222222222222223,1.0,2.888888888888889,0.0,0.0,28.666666666666668,0.0,0.0,1.1111111111111112,0.0,0.7777777777777778,0.2222222222222222,0.2222222222222222
11792,15601.0,9.0,79.55000000000001,10.11111111111111,1.4444444444444444,8.666666666666666,3.888888888888889,2.555555555555556,0.5555555555555556,2.7777777777777777,0.3333333333333333,0.0,36.888888888888886,0.0,0.0,1.6666666666666667,0.0,6.222222222222222,2.555555555555556,3.6666666666666665
11793,15602.0,9.0,82.15555555555557,11.555555555555555,1.0,10.555555555555555,3.7777777777777777,2.7777777777777777,1.0,3.2222222222222223,0.2222222222222222,0.5555555555555556,45.22222222222222,0.0,0.0,3.4444444444444446,0.0,3.333333333333333,2.0,3.333333333333333
11794,15603.0,8.0,22.71875,1.75,0.0,1.75,0.5,0.625,0.0,0.625,0.0,0.0,7.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11795,15604.0,4.0,48.625,4.0,1.0,3.0,1.25,1.0,0.25,1.0,0.5,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11796,15605.0,9.0,81.43333333333334,14.22222222222222,1.0,13.22222222222222,4.888888888888889,4.888888888888889,1.6666666666666667,2.4444444444444446,0.1111111111111111,0.2222222222222222,44.333333333333336,0.0,0.0,2.0,0.1111111111111111,3.0,2.111111111111111,2.555555555555556
11797,15606.0,9.0,81.85555555555555,5.333333333333333,0.2222222222222222,5.111111111111111,1.8888888888888888,1.6666666666666667,0.3333333333333333,1.1111111111111112,0.1111111111111111,0.2222222222222222,33.111111111111114,0.0,0.0,1.0,0.0,1.7777777777777777,0.8888888888888888,1.6666666666666667
